id;url;latitude;longitude;condition;price;area_sqm;floor;total_floors;rooms
1740265;https://www.kv.ee/1740265;58.3738525;26.7746494;San. remont tehtud;450.0;66.3;3.0;9.0;3.0
1923599;https://www.kv.ee/1923599;58.375969029072;26.681106617059;Renoveeritud;320.0;28.0;3.0;5.0;1.0
2170154;https://www.kv.ee/2170154;58.3786155;26.7242132;Heas korras;590.0;48.5;3.0;5.0;2.0
2285140;https://www.kv.ee/2285140;58.3668813;26.728314;Renoveeritud;295.0;26.0;1.0;2.0;1.0
2390856;https://www.kv.ee/2390856;58.368313;26.7303868;Renoveeritud;345.0;25.1;2.0;2.0;1.0
2605043;https://www.kv.ee/2605043;58.3710629;26.7009971;Heas korras;380.0;30.0;3.0;3.0;2.0
2749072;https://www.kv.ee/2749072;58.3703397;26.7144742;Uus;345.0;18.0;;;1.0
2765554;https://www.kv.ee/2765554;58.3751476;26.7241134;Renoveeritud;385.0;38.6;4.0;4.0;1.0
2784661;https://www.kv.ee/2784661;58.375135;26.713795;Renoveeritud;540.0;51.3;2.0;4.0;2.0
2817551;https://www.kv.ee/2817551;58.3784114;26.7484141;Renoveeritud;475.0;46.0;1.0;5.0;2.0
2868731;https://www.kv.ee/2868731;58.3701715;26.7316259;Heas korras;510.0;46.9;2.0;3.0;2.0
2899587;https://www.kv.ee/2899587;58.3748993;26.6934945;Renoveeritud;420.0;46.0;1.0;5.0;2.0
2942520;https://www.kv.ee/2942520;58.3750481;26.7220871;Heas korras;450.0;47.0;2.0;4.0;2.0
2949540;https://www.kv.ee/2949540;58.3750817;26.7331079;Renoveeritud;390.0;33.0;3.0;5.0;1.0
2954177;https://www.kv.ee/2954177;58.3559404;26.7230727;Heas korras;300.0;39.3;1.0;4.0;2.0
3000705;https://www.kv.ee/3000705;58.3854742;26.7016383;Heas korras;590.0;70.0;3.0;3.0;2.0
3010222;https://www.kv.ee/3010222;58.3824822;26.7370519999999;Renoveeritud;690.0;75.9;4.0;5.0;4.0
3046003;https://www.kv.ee/3046003;58.3779029;26.7039248999999;Heas korras;750.0;67.1;3.0;4.0;3.0
3059255;https://www.kv.ee/3059255;58.3528411;26.6853022;Heas korras;300.0;27.0;5.0;5.0;1.0
3067227;https://www.kv.ee/3067227;58.3763681;26.754761;Keskmine;300.0;46.0;9.0;9.0;2.0
3070016;https://www.kv.ee/3070016;58.3876811;26.7330411;Renoveeritud;325.0;33.5;2.0;2.0;1.0
3098338;https://www.kv.ee/3098338;58.3638842;26.7213563;Renoveeritud;400.0;34.6;1.0;2.0;2.0
3112918;https://www.kv.ee/3112918;58.3867668;26.7128097;Heas korras;400.0;31.0;1.0;1.0;2.0
3155568;https://www.kv.ee/3155568;58.3759586;26.7277951;Uus;900.0;68.5;5.0;7.0;2.0
3163262;https://www.kv.ee/3163262;58.3817297;26.7311492;Uus;440.0;17.2;;;1.0
